Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,317,107,2,3.5,3,8.28,0,0.66
2,302,99,2,1,2,7.97,0,0.56
3,299,96,2,1.5,2,7.86,0,0.54
4,323,108,3,3.5,3,8.6,0,0.45
5,314,106,3,3,5,8.9,0,0.74
6,326,111,5,4.5,4,9.23,1,0.88
7,314,109,4,3.5,4,8.77,1,0.82
8,329,111,4,4.5,4.5,9.18,1,0.87
9,326,113,5,4.5,4,9.4,1,0.91
10,313,104,3,4,4.5,8.65,0,0.73
11,324,113,4,4.5,4,8.79,0,0.76
12,312,103,4,4,5,8.43,0,0.73
13,309,105,2,2.5,4,7.68,0,0.55
14,314,104,4,5,5,9.02,0,0.82
15,312,105,2,2.5,3,8.12,0,0.64
16,305,105,2,3,2,8.23,0,0.67
17,295,93,1,2,2,7.2,0,0.46
18,322,112,4,3.5,2.5,9.02,1,0.73
19,304,104,3,2.5,2,8.12,0,0.62
20,314,103,2,2,3,8.21,0,0.65
21,325,112,4,3.5,3.5,8.92,0,0.55
22,303,102,3,3.5,3,8.5,0,0.62
23,324,113,4,4.5,4.5,9.25,1,0.89
24,329,111,4,4.5,4,9.23,1,0.89
25,318,109,3,3.5,4,9.22,1,0.68
26,326,112,3,3.5,3,9.05,1,0.74
27,328,110,4,5,4,9.14,1,0.82
28,327,113,4,4.5,4.5,9.04,0,0.84
29,297,96,2,2.5,1.5,7.89,0,0.43
30,319,105,4,4,4.5,8.66,1,0.77
31,323,107,3,3.5,3.5,8.55,1,0.73
32,311,105,3,3.5,3,8.45,1,0.59
33,299,100,2,2,2,7.88,0,0.51
34,313,94,2,2.5,1.5,8.13,0,0.56
35,311,99,2,2.5,3,7.98,0,0.65
36,323,112,5,4,4.5,8.78,0,0.79
37,308,106,3,3.5,2.5,8.21,1,0.75
38,311,104,3,3.5,2,8.2,1,0.61
39,327,114,3,3,3,9.02,0,0.61
40,318,101,5,3.5,5,8.78,1,0.78
41,315,101,3,3.5,4.5,9.13,0,0.79
42,331,119,4,5,4.5,9.34,1,0.9
43,312,105,2,1.5,3,8.46,0,0.66
44,309,105,4,3.5,2,8.18,0,0.65
45,315,99,2,3.5,3,7.89,0,0.63
46,298,101,2,1.5,2,7.86,0,0.54
47,331,120,3,4,4,8.96,1,0.86
48,340,115,5,4.5,4.5,9.45,1,0.94
49,325,112,2,3,3.5,8.96,1,0.8
50,320,112,4,3,4.5,8.86,1,0.82
51,329,119,4,4.5,4.5,9.16,1,0.9
52,318,112,3,4,3.5,8.67,0,0.71
53,320,108,3,3.5,5,8.97,1,0.84
54,326,114,3,3,3,9.11,1,0.83
55,313,102,3,2,3,8.27,0,0.64
56,301,96,1,3,4,7.56,0,0.54
57,304,102,2,3,4,8.73,0,0.67
58,322,112,4,4.5,4.5,9.26,1,0.91
59,334,119,5,4.5,5,9.54,1,0.94
60,328,110,4,4,2.5,9.02,1,0.81
61,333,119,5,5,4.5,9.78,1,0.96
62,326,102,4,5,5,8.76,1,0.77
63,310,101,3,3.5,5,8.65,1,0.71
64,302,110,3,4,4.5,8.5,0,0.65
65,321,114,4,4,5,9.12,0,0.85
66,324,105,3,3,4,8.75,0,0.79
67,309,100,2,3,3,8.1,0,0.48
68,298,105,3,3.5,4,8.54,0,0.69
69,324,110,4,4.5,4,9.15,1,0.82
70,316,107,2,3.5,3.5,8.64,1,0.57
71,329,111,4,4.5,4,9.01,1,0.81
72,301,97,2,3,3,7.88,1,0.44
73,332,112,1,1.5,3,8.66,1,0.79
74,296,101,1,2.5,3,7.68,0,0.6
75,327,111,4,3,4,8.4,1,0.78
76,329,114,2,2,4,8.56,1,0.72
77,299,100,2,3,3.5,7.88,0,0.68
78,309,108,3,2.5,3,8.12,0,0.72
79,308,108,3,3.5,3.5,8.22,0,0.61
80,338,115,5,4.5,5,9.23,1,0.91
81,325,110,4,4.5,4,8.96,1,0.79
82,330,115,5,4.5,3,9.34,1,0.9
83,319,106,3,4,3,8,1,0.65
84,310,106,4,4.5,4.5,9.04,1,0.66
85,312,106,3,4,3.5,8.79,1,0.81
86,311,104,3,4.5,4.5,8.43,0,0.7
87,320,110,5,5,4.5,9.22,1,0.92
88,327,116,4,4,4.5,9.48,1,0.9
89,305,108,5,3,3,8.48,0,0.61
90,310,99,2,1.5,2,7.3,0,0.54
91,314,102,4,2.5,2,7.88,1,0.59
92,325,106,3,3.5,4,8.4,1,0.52
93,324,110,3,3.5,3,9.22,1,0.89
94,302,99,1,2,2,7.25,0,0.57
95,307,105,2,2,3.5,8.1,0,0.53
96,316,111,4,4,5,8.54,0,0.71
97,316,98,1,1.5,2,7.43,0,0.49
98,306,100,2,3,3,8,0,0.48
99,324,111,3,2.5,1.5,8.79,1,0.7
100,322,110,5,5,4,9.1,1,0.88
101,312,105,2,2,2.5,8.45,0,0.72
102,322,110,3,3.5,3,8.96,1,0.78
103,320,104,3,3.5,4.5,8.34,1,0.74
104,322,103,4,3,2.5,8.02,1,0.61
105,317,104,2,3,3,8.76,0,0.77
106,319,112,3,2.5,2,8.71,1,0.78
107,300,102,2,1.5,2,7.87,0,0.56
108,301,104,2,3.5,3.5,7.89,1,0.68
109,312,107,4,4.5,4,8.65,1,0.73
110,321,114,5,4.5,4.5,9.16,1,0.87
111,313,102,3,3.5,4,8.9,1,0.77
112,314,99,4,3.5,4.5,8.73,1,0.71
113,319,106,3,3.5,2.5,8.33,1,0.74
114,326,116,3,3.5,4,9.14,1,0.81
115,337,118,4,4.5,4.5,9.65,1,0.92
116,304,103,5,5,3,7.92,0,0.71
117,324,107,4,4,4.5,8.87,1,0.76
118,321,109,3,3.5,3.5,8.8,1,0.74
119,323,111,5,4,5,9.86,1,0.92
120,321,111,3,3.5,4,8.83,1,0.77
121,305,107,2,2.5,2.5,8.42,0,0.71
122,323,108,5,4,4,8.74,1,0.81
123,314,107,2,2.5,4,8.56,0,0.63
124,316,109,3,3.5,3,8.76,0,0.77
125,327,112,3,3,3,8.72,1,0.74
126,339,116,4,4,3.5,9.8,1,0.96
127,306,105,2,3,2.5,8.26,0,0.73
128,295,99,2,2.5,3,7.65,0,0.57
129,316,109,4,4.5,3.5,8.76,1,0.74
130,316,104,3,3,3.5,8,1,0.72
131,332,118,5,5,5,9.47,1,0.94
132,323,113,3,4,3,9.32,1,0.85
133,319,108,2,2.5,3,8.76,0,0.66
134,314,107,2,2.5,4,8.27,0,0.72
135,322,115,5,4,4.5,9.36,1,0.92
136,311,104,2,2.5,3.5,8.48,0,0.71
137,324,112,5,5,5,9.08,1,0.88
138,310,106,2,3.5,2.5,8.33,0,0.73
139,306,103,2,2.5,3,8.36,0,0.69
140,336,118,5,4.5,5,9.53,1,0.94
141,317,106,3,4,3.5,8.5,1,0.75
142,305,105,2,3,4,8.13,0,0.66
143,326,116,2,4.5,3,9.08,1,0.8
144,327,106,4,4,4.5,8.75,1,0.76
145,319,108,3,3,3.5,8.54,1,0.71
146,334,117,5,4,4.5,9.07,1,0.89
147,340,114,5,4,4,9.6,1,0.9
148,324,115,3,3.5,3,8.76,1,0.7
149,325,110,2,3,2.5,8.76,1,0.75
150,302,102,3,3.5,5,8.33,0,0.65
151,331,116,5,4,4,9.26,1,0.93
152,315,103,1,1.5,2,7.86,0,0.57
153,311,107,4,4.5,4.5,9,1,0.78
154,325,108,4,4.5,4,9.06,1,0.79
155,297,96,2,2.5,2,7.43,0,0.34
156,299,106,2,4,4,8.4,0,0.64
157,303,105,5,5,4.5,8.65,0,0.77
158,328,113,4,4,2.5,8.77,1,0.83
159,325,112,4,4,4,9,1,0.8
160,327,104,5,3,3.5,8.84,1,0.71
161,321,109,4,4,4,8.68,1,0.69
162,317,100,2,3,2.5,8.57,0,0.68
163,313,103,3,4,4,8.75,0,0.76
164,328,112,4,4,4.5,9.1,1,0.78
165,307,105,2,2.5,3,7.65,0,0.58
166,317,105,3,3.5,3,8.56,0,0.68
167,322,112,3,3,4,8.62,1,0.76
168,301,99,3,2.5,2,8.45,1,0.68
169,299,100,1,1.5,2,7.89,0,0.59
170,315,100,1,2,2.5,7.95,0,0.58
171,329,114,5,4.5,5,9.19,1,0.86
172,312,107,3,3,2,7.9,1,0.64
173,299,102,3,4,3.5,8.62,0,0.56
174,316,105,2,2.5,2.5,8.2,1,0.49
175,313,107,2,2.5,2,8.5,1,0.53
176,326,112,3,3.5,3,9.1,1,0.84
177,308,102,2,2,3.5,7.98,1,0.58
178,320,101,2,2.5,3,8.62,0,0.7
179,335,117,5,5,5,9.56,1,0.94
180,300,101,3,3.5,2.5,7.88,0,0.59
181,320,120,3,4,4.5,9.11,0,0.86
182,318,107,3,3,3.5,8.27,1,0.74
183,296,97,2,1.5,2,7.8,0,0.49
184,306,105,2,2.5,3,8.22,1,0.72
185,317,110,3,4,4.5,9.11,1,0.8
186,315,110,2,3.5,3,8.46,1,0.72
187,307,102,3,3,3,8.27,0,0.73
188,303,100,2,3,3.5,8.06,1,0.64
189,325,111,3,3,3.5,8.7,0,0.52
190,327,113,4,3.5,3,8.69,1,0.8
191,317,101,3,3,2,7.94,1,0.49
192,338,120,4,5,5,9.66,1,0.95
193,308,106,3,3,3,8.24,0,0.58
194,325,114,5,4,5,9.46,1,0.91
195,315,105,2,2,2.5,7.65,0,0.39
196,301,107,3,3.5,3.5,8.34,1,0.62
197,317,103,2,2.5,2,8.15,0,0.65
198,312,107,2,2.5,3.5,8.27,0,0.69
199,321,109,3,3,3,8.54,1,0.79
200,310,106,4,1.5,2.5,8.36,0,0.57
201,300,104,3,3.5,3,8.16,0,0.71
202,325,110,4,3.5,4,8.67,1,0.73
203,314,108,3,4.5,3.5,8.14,0,0.64
204,309,99,3,4,4,8.56,0,0.76
205,299,100,3,2,2,8.02,0,0.63
206,309,104,2,2,2.5,8.26,0,0.65
207,307,109,3,4,3,8,1,0.62
208,314,102,2,2,2.5,8.24,0,0.64
209,312,107,3,3,3,8.46,1,0.75
210,321,109,3,3,4,8.2,1,0.75
211,314,105,3,3.5,2.5,8.3,0,0.54
212,299,100,3,2,3,7.42,0,0.42
213,327,103,3,4,4,8.3,1,0.74
214,316,110,3,4,4.5,8.78,1,0.69
215,312,99,1,1,1.5,8.01,1,0.52
216,319,102,3,2.5,2.5,8.37,0,0.68
217,335,117,5,5,5,9.82,1,0.96
218,308,108,4,4.5,5,8.34,0,0.77
219,325,114,4,3,2,8.4,0,0.7
220,318,103,3,4,4.5,8.49,1,0.71
221,321,107,2,2,1.5,8.44,0,0.81
222,311,104,2,2,2,8.3,0,0.42
223,293,97,2,2,4,7.8,1,0.64
224,323,113,4,4,4.5,9.23,1,0.89
225,303,98,1,2,2.5,7.65,0,0.56
226,312,105,3,2,3,8.02,1,0.5
227,301,99,2,3,2,8.22,0,0.64
228,308,103,2,2.5,4,8.36,1,0.7
229,304,107,3,3.5,3,7.86,0,0.57
230,315,105,3,2,2.5,8.48,0,0.75
231,311,103,3,2,4,8.09,0,0.64
232,326,114,4,4,3.5,9.16,1,0.86
233,320,104,3,3,2.5,8.57,1,0.74
234,340,120,5,4.5,4.5,9.91,1,0.97
235,340,120,5,4.5,4.5,9.6,1,0.94
236,329,114,5,4,5,9.3,1,0.86
237,318,109,1,3.5,3.5,9.12,0,0.78
238,322,110,5,4.5,4,8.97,0,0.78
239,320,110,5,5,5,9.2,1,0.88
240,318,100,2,2.5,3.5,8.54,1,0.71
241,300,95,2,3,1.5,8.22,1,0.62
242,329,113,4,4,3.5,9.36,1,0.89
243,302,101,2,2.5,3.5,7.96,0,0.46
244,324,109,3,3.5,3,8.94,1,0.78
245,318,110,3,4,3,8.8,0,0.63
246,332,118,2,4.5,3.5,9.36,1,0.9
247,313,109,3,4,3.5,9,0,0.79
248,311,105,2,3,2,8.12,1,0.73
249,309,105,5,3.5,3.5,8.56,0,0.71
250,299,97,3,5,3.5,7.66,0,0.38
251,324,113,5,4,5,9.25,1,0.92
252,301,100,3,3.5,3,8.04,0,0.67
253,290,92,1,1,1,6.8,0,0.34
254,321,112,3,3,4.5,8.95,1,0.77
255,320,113,2,2,2.5,8.64,1,0.81
256,312,101,2,2.5,3.5,8.04,1,0.68
257,327,108,5,5,3.5,9.13,1,0.87
258,312,104,3,3.5,4,8.09,0,0.71
259,312,109,2,2.5,4,9.02,0,0.8
260,313,107,3,4,4.5,8.69,0,0.72
261,340,115,5,5,4.5,9.06,1,0.95
262,324,111,4,3,3,9.01,1,0.82
263,312,108,3,3.5,3,8.53,0,0.69
264,333,113,5,4,4,9.28,1,0.89
265,315,105,2,3,3,8.34,0,0.66
266,331,112,5,4,5,9.8,1,0.94
267,298,101,4,2.5,4.5,7.69,1,0.53
268,322,110,3,3,3.5,8,0,0.7
269,323,110,5,4,5,8.98,1,0.87
270,324,110,3,3.5,3.5,9.04,1,0.82
271,321,102,3,3.5,4,9.01,1,0.8
272,302,99,3,2.5,3,7.45,0,0.52
273,312,100,2,1.5,3.5,7.9,1,0.56
274,310,110,1,1.5,4,7.23,1,0.58
275,336,119,5,4,3.5,9.8,1,0.97
276,331,117,4,4.5,5,9.42,1,0.94
277,328,108,4,4.5,4,9.18,1,0.84
278,306,106,2,2,2.5,8.14,0,0.61
279,324,110,4,3,3.5,8.97,1,0.84
280,301,102,3,2.5,2,8.13,1,0.68
281,307,108,2,4,3.5,7.7,0,0.48
282,300,105,1,1,2,7.8,0,0.58
283,316,102,2,4,3.5,8.15,0,0.67
284,323,110,4,4,5,8.88,1,0.81
285,297,101,3,2,4,7.67,1,0.57
286,316,99,2,2.5,3,9,0,0.7
287,297,99,4,3,3.5,7.81,0,0.54
288,325,111,4,4,4.5,9.11,1,0.83
289,307,107,2,3,3.5,8.52,1,0.78
290,308,110,4,3.5,3,8.6,0,0.7
291,314,110,3,4,4,8.8,0,0.75
292,308,103,2,3,3.5,8.49,0,0.66
293,312,104,3,3.5,3.5,8.42,0,0.74
294,308,101,2,3,4,7.9,0,0.68
295,327,118,4,5,5,9.67,1,0.93
296,330,120,5,4.5,5,9.56,1,0.93
297,315,105,3,2,2.5,8.34,0,0.7
298,317,106,1,1.5,3.5,7.65,1,0.61
299,301,98,1,2,3,8.03,1,0.67
300,305,102,2,2,2.5,8.18,0,0.62
301,302,102,1,2,1.5,8,0,0.5
302,326,108,3,3,3.5,8.89,0,0.8
303,338,117,4,3.5,4.5,9.46,1,0.91
304,311,99,1,2.5,3,8.43,1,0.71
305,307,105,4,3,3,7.94,0,0.62
306,324,112,4,4.5,4,9.22,1,0.86
307,323,107,4,3,2.5,8.48,1,0.78
308,313,102,3,2.5,2.5,8.68,0,0.71
309,327,113,4,4.5,4.5,9.11,1,0.89
310,306,110,2,3.5,4,8.45,0,0.63
311,329,110,2,4,3,9.15,1,0.84
312,305,103,2,2.5,3.5,8.13,0,0.59
313,316,105,3,3,3.5,8.73,0,0.72
314,328,116,5,5,5,9.5,1,0.94
315,313,106,2,2.5,2,8.43,0,0.62
316,298,99,1,1.5,3,7.46,0,0.53
317,304,103,5,5,4,8.64,0,0.68
318,334,120,5,4,5,9.87,1,0.97
319,323,104,3,4,4,8.44,1,0.73
320,339,114,5,4,4.5,9.76,1,0.96
321,324,112,4,4,3.5,8.77,1,0.8
322,327,115,4,3.5,4,9.14,0,0.79
323,300,100,3,3,3.5,8.26,0,0.62
324,294,93,1,1.5,2,7.36,0,0.46
325,340,120,5,5,5,9.92,1,0.97
326,326,112,4,4,3.5,9.12,1,0.84
327,296,99,2,2.5,2.5,8.03,0,0.61
328,307,110,4,4,4.5,8.37,0,0.79
329,306,103,3,3.5,3,8.21,0,0.64
330,318,109,3,3,3,8.5,0,0.67
331,331,115,5,4,3.5,9.44,1,0.92
332,311,102,3,4.5,4,8.64,1,0.68
333,332,116,5,5,5,9.28,1,0.94
334,317,106,2,2,3.5,8.12,0,0.73
335,308,109,2,3,4,8.45,0,0.71
336,304,105,2,3,3,8.2,1,0.54
337,316,100,2,1.5,3,8.16,1,0.71
338,305,112,3,3,3.5,8.65,0,0.71
339,332,108,5,4.5,4,9.02,1,0.87
340,314,107,3,3,3.5,8.17,1,0.73
341,312,103,3,5,4,8.45,0,0.76
342,330,116,4,5,4.5,9.45,1,0.91
343,312,103,3,3.5,4,8.78,0,0.67
344,329,113,5,5,4.5,9.45,1,0.89
345,304,97,2,1.5,2,7.64,0,0.47
346,317,107,3,3.5,3,8.68,1,0.84
347,309,111,2,2.5,4,8.03,0,0.6
348,324,107,5,3.5,4,8.66,1,0.81
349,323,113,3,4,4,8.88,1,0.79
350,304,100,4,1.5,2.5,7.84,0,0.42
351,322,110,4,4,5,9.13,1,0.86
352,314,106,2,4,3.5,8.25,0,0.62
353,323,110,3,4,3.5,9.1,1,0.79
354,297,100,1,1.5,2,7.9,0,0.52
355,320,111,4,4.5,3.5,8.87,1,0.85
356,319,103,3,2.5,4,8.76,1,0.73
357,295,99,1,2,1.5,7.57,0,0.37
358,320,103,3,3,3,7.7,0,0.64
359,305,106,2,3,3,8.16,0,0.64
360,315,106,3,4.5,3.5,8.42,0,0.72
361,300,99,1,1,2.5,8.01,0,0.58
362,303,99,3,2,2.5,7.66,0,0.36
363,334,116,4,4,3.5,9.54,1,0.93
364,336,112,5,5,5,9.76,1,0.96
365,333,117,4,5,4,9.66,1,0.95
366,340,120,4,4.5,4,9.92,1,0.97
367,305,102,2,1.5,2.5,7.64,0,0.59
368,313,98,3,2.5,4.5,8.3,1,0.76
369,320,104,3,3,3.5,8.74,1,0.76
370,317,104,2,4.5,4,8.47,0,0.57
371,296,95,2,3,2,7.54,1,0.44
372,322,109,5,4.5,3.5,8.8,0,0.76
373,315,104,3,3,2.5,8.33,0,0.67
374,309,106,2,2.5,2.5,8,0,0.62
375,331,115,5,4.5,3.5,9.36,1,0.93
376,296,99,2,3,3.5,7.28,0,0.47
377,313,101,3,2.5,3,8.04,0,0.62
378,324,111,5,4.5,4,9.16,1,0.9
379,298,97,2,2,3,7.21,0,0.45
380,324,111,3,2.5,2,8.8,1,0.79
381,319,103,4,4.5,3.5,8.66,0,0.76
382,320,112,2,3.5,3.5,8.78,1,0.73
383,340,113,4,5,5,9.74,1,0.96
384,337,117,5,5,5,9.87,1,0.96
385,304,100,2,2.5,3.5,8.07,0,0.64
386,290,100,1,1.5,2,7.56,0,0.47
387,310,107,3,3.5,3.5,8.67,0,0.76
388,314,108,4,4.5,4,9.04,1,0.84
389,299,94,1,1,1,7.34,0,0.42
390,304,105,1,3,1.5,7.5,0,0.52
391,328,115,4,4.5,4,9.16,1,0.78
392,318,106,2,4,4,7.92,1,0.64
393,312,98,1,3.5,3,8.18,1,0.64
394,322,105,2,3,3,8.45,1,0.65
395,325,114,3,3.5,3,9.04,1,0.76
396,312,106,3,3,5,8.57,0,0.71
397,331,116,5,5,5,9.38,1,0.93
398,334,114,4,4,4,9.43,1,0.93
399,332,119,4,5,4.5,9.24,1,0.9
400,318,110,1,2.5,3.5,8.54,1,0.67
401,310,105,2,3,3.5,8.01,0,0.71
402,327,113,3,3.5,3,8.66,1,0.8
403,317,106,3,3.5,3,7.89,1,0.73
404,327,111,4,4,4.5,9,1,0.84
405,304,101,2,2,2.5,7.66,0,0.38
406,316,106,2,2.5,4,8.32,0,0.72
407,330,114,4,4.5,3,9.17,1,0.86
408,322,110,3,3.5,2.5,8.67,1,0.8
409,340,120,4,5,5,9.5,1,0.96
410,332,118,5,5,5,9.64,1,0.94
411,311,101,3,2,2.5,7.64,1,0.62
412,304,100,2,3.5,3,8.22,0,0.63
413,321,111,5,5,5,9.45,1,0.93
414,336,118,5,4.5,4,9.19,1,0.92
415,300,97,2,3,3,8.1,1,0.65
416,325,112,4,4,4.5,9.17,1,0.85
417,322,114,5,4.5,4,8.94,1,0.86
418,311,106,2,3.5,3,8.26,1,0.79
419,319,110,3,3,2.5,8.79,0,0.72
420,318,106,3,2,3,8.65,0,0.71
421,335,115,4,4.5,4.5,9.68,1,0.93
422,290,104,4,2,2.5,7.46,0,0.45
423,298,92,1,2,2,7.88,0,0.51
424,317,107,3,4,3,8.7,0,0.66
425,295,96,2,1.5,2,7.34,0,0.47
426,324,110,3,3.5,4,8.87,1,0.8
427,297,98,2,2.5,3,7.67,0,0.59
428,298,98,2,1.5,2.5,7.5,1,0.44
429,298,100,3,2.5,4,7.95,1,0.58
430,298,99,2,4,2,7.6,0,0.46
431,300,102,3,3.5,2.5,8.17,0,0.63
432,334,119,5,5,4.5,9.7,1,0.95
433,324,112,4,4,2.5,8.1,1,0.72
434,328,116,5,4.5,5,9.08,1,0.91
435,317,103,3,2.5,3,8.54,1,0.73
436,320,110,2,4,3.5,8.56,0,0.72
437,324,114,5,5,4.5,9.08,1,0.89
438,316,103,3,3.5,2,7.68,0,0.52
439,340,112,4,5,4.5,9.66,1,0.94
440,315,107,2,4,3,8.5,1,0.56
441,315,104,3,4,2.5,8.1,0,0.65
442,316,103,2,2,4.5,8.74,0,0.69
443,327,113,4,4.5,5,9.14,0,0.83
444,330,116,4,4,3.5,9.23,1,0.91
445,321,111,4,4,4,8.97,1,0.87
446,328,116,4,5,3.5,9.6,1,0.93
447,308,110,3,3.5,3,8,1,0.46
448,321,109,4,4,4,9.13,1,0.85
449,298,98,2,4,3,8.03,0,0.34
450,314,105,2,2.5,2,7.64,0,0.7
451,316,102,3,2,3,7.4,0,0.64
452,311,101,2,2.5,3.5,8.34,1,0.7
453,331,116,4,4.5,4.5,9.44,1,0.92
454,319,105,3,3,3.5,8.67,1,0.73
455,300,100,3,2,3,8.66,1,0.64
456,334,119,5,4.5,4.5,9.48,1,0.94
457,294,95,1,1.5,1.5,7.64,0,0.49
458,322,107,3,3.5,3.5,8.46,1,0.71
459,310,103,2,2.5,2.5,8.24,0,0.72
460,330,113,5,5,4,9.31,1,0.91
461,311,104,3,4,3.5,8.13,1,0.74
462,321,110,4,3.5,4,8.35,1,0.72
463,300,98,1,2,2.5,8.02,0,0.61
464,312,110,2,3.5,3,8.53,0,0.64
465,307,105,2,2.5,4.5,8.12,1,0.67
466,322,110,3,4,5,8.64,1,0.85
467,322,104,3,3.5,4,8.84,1,0.78
468,316,101,2,2.5,2,8.32,1,0.61
469,327,109,3,3.5,4,8.77,1,0.79
470,326,110,3,3.5,3.5,8.76,1,0.79
471,338,118,4,3,4.5,9.4,1,0.91
472,320,108,3,3.5,4,8.44,1,0.76
473,301,106,4,2.5,3,8.47,0,0.57
474,301,104,3,3.5,4,8.12,1,0.68
475,310,104,3,2,3.5,8.37,0,0.7
476,312,109,3,3,3,8.69,0,0.77
477,321,111,3,2.5,3,8.9,1,0.8
478,339,119,5,4.5,4,9.7,0,0.89
479,325,107,3,3,3.5,9.11,1,0.84
480,324,100,3,4,5,8.64,1,0.78
481,335,118,5,4.5,3.5,9.44,1,0.93
482,334,116,4,4,3,8,1,0.78
483,305,96,4,3,4.5,8.26,0,0.54
484,300,99,1,3,2,6.8,1,0.36
485,321,112,5,5,5,9.06,1,0.86
486,305,104,2,2.5,1.5,7.79,0,0.53
487,332,117,4,4.5,4,9.1,0,0.87
488,310,102,3,3.5,4,8.02,1,0.66
489,319,110,3,3.5,3.5,9.04,0,0.82
490,316,110,3,3.5,4,8.56,0,0.75
491,333,118,5,5,5,9.35,1,0.92
492,308,105,4,3,2.5,7.95,1,0.67
493,321,110,3,3.5,5,8.85,1,0.82
494,311,98,1,1,2.5,7.46,0,0.57
495,295,101,2,2.5,2,7.86,0,0.69
496,330,114,3,4.5,4.5,9.24,1,0.9
497,312,100,1,3,3,8.53,1,0.69
498,320,110,5,4,4,9.27,1,0.87
499,308,104,2,2.5,3,8.07,0,0.65
500,330,116,5,5,4.5,9.36,1,0.93
500,307,101,3,4,3,8.2,0,0.47
501,336,119,4,4.5,4,9.62,1,0.95
